TITLE,COLORS_USED,SUBJECT_MATTER,EPISODE_DATE
Meadow Lake,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1983-08-31
Winter Sun,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, LAKE, SNOW, SUN, TREE, TREES",1983-09-07
Ebony Sea,"Black_Gesso, Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CUMULUS, DECIDUOUS, OCEAN, SUN, TREE, TREES, WAVES",1983-09-14
Shades Of Grey,"Prussian_Blue, Titanium_White, Van_Dyke_Brown","BUSHES, CABIN, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES",1983-09-21
Autumn Splendor,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, GRASS, LAKE, TREE, TREES",1983-09-28
Black River,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GRASS, RIVER, TREE, TREES",1983-10-05
Brown Mountain,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, GRASS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",1983-10-12
Reflections,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CIRRUS, CLOUDS, CONIFER, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1983-10-19
Black And White Seascape,"Black_Gesso, Bright_Red, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CUMULUS, DECIDUOUS, OCEAN, ROCKS, SUN, TREE, TREES, WAVES",1983-10-26
Lazy River,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, RIVER, TREE, TREES",1983-11-02
Black Waterfall,"Black_Gesso, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES, WATERFALL",1983-11-09
Mountain Waterfall,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL",1983-11-16
Final Grace,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1983-11-23
Mountain Retreat,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CABIN, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, STRUCTURE, TREE, TREES",1984-01-04
Blue Moon,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CUMULUS, MOON, NIGHT, OCEAN, PALM_TREES, TREE, TREES, WAVES",1984-01-11
Bubbling Stream,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES",1984-01-18
Winter Night,"Bright_Red, Cadmium_Yellow, Liquid_Black, Phthalo_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CABIN, CONIFER, SNOW, STRUCTURE, TREE, TREES, WINTER",1984-01-25
Distant Hills,"Burnt_Umber, Cadmium_Yellow, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CLOUDS, CONIFER, DECIDUOUS, HILLS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",1984-02-01
Covered Bridge,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BRIDGE, DECIDUOUS, PATH, STRUCTURE, TREE, TREES",1984-02-08
Quiet Inlet,"Burnt_Umber, Cadmium_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",1984-02-15
Night Light,"Black_Gesso, Burnt_Umber, Cadmium_Yellow, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLIFF, CLOUDS, CUMULUS, LIGHTHOUSE, NIGHT, OCEAN, STRUCTURE, WAVES",1984-02-22
The Old Mill,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CABIN, CLOUDS, CUMULUS, DECIDUOUS, MILL, RIVER, STRUCTURE, TREE, TREES",1984-03-01
Campfire,"Black_Gesso, Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, FIRE, LAKE, PERSON, TREE, TREES",1984-03-08
Rustic Barn,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BARN, DECIDUOUS, FENCE, LAKE, STRUCTURE, TREE, TREES",1984-03-15
Hidden Lake,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",1984-03-22
Peaceful Waters,"Cadmium_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GUEST, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES",1984-03-29
Purple Splendor,"Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CABIN, CONIFER, LAKE, SNOW, STRUCTURE, TREE, TREES, WINTER",1984-09-05
Tranquil Valley,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",1984-09-12
Majestic Mountains,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, GRASS, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1984-09-19
Winter Sawscape,"Black_Gesso, Bright_Red, Burnt_Umber, Cadmium_Yellow, Midnight_Black, Prussian_Blue, Titanium_White","CABIN, CIRCLE_FRAME, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, FRAMED, GUEST, LAKE, SNOW, STRUCTURE, TREE, TREES, WINTER",1984-09-26
Evening Seascape,"Black_Gesso, Bright_Red, Burnt_Umber, Cadmium_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BEACH, CLIFF, CLOUDS, CONIFER, CUMULUS, OCEAN, ROCKS, TREE, TREES, WAVES",1984-10-03
Warm Summer Day,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, LAKE, TREE, TREES",1984-10-10
Cabin In The Woods,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, DECIDUOUS, GRASS, PATH, STRUCTURE, TREE, TREES",1984-10-17
Wetlands,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, DECIDUOUS, GRASS, LAKE, TREE, TREES",1984-10-24
Cool Waters,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1984-10-31
Quiet Woods,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, GRASS, RIVER, TREE, TREES",1984-11-07
Northwest Majesty,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Liquid_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, DIANE_ANDRE, GUEST, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1984-11-14
Autumn Days,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, HILLS, LAKE, TREE, TREES",1984-11-21
Mountain Challenge,"Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE",1984-11-28
Mountain Waterfall,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL",1985-01-02
Twilight Meadow,"Black_Gesso, Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CUMULUS, DECIDUOUS, GRASS, LAKE, TREE, TREES",1985-01-09
Mountain Blossoms,"Liquid_Black, Phthalo_Blue, Phthalo_Green, Titanium_White, Alizarin_Crimson","CONIFER, FLOWERS, GUEST, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, TREE, TREES",1985-01-16
Winter Stillness,"Burnt_Umber, Indian_Yellow, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CONIFER, DECIDUOUS, LAKE, SNOW, TREE, TREES, WINTER",1985-01-23
Quiet Pond,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, LAKE, TREE, TREES",1985-01-30
Ocean Sunrise,"Indian_Yellow, Liquid_Black, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CLOUDS, GRASS, GUEST, OCEAN, SUN",1985-02-06
Bubbling Brook,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES",1985-02-13
Arizona Splendor,"Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, TREE, TREES",1985-02-20
Anatomy Of A Wave,"Cadmium_Yellow, Liquid_Clear, Phthalo_Blue, Phthalo_Green, Titanium_White, Alizarin_Crimson","GUEST, OCEAN, WAVES",1985-02-27
The Windmill,"Black_Gesso, Bright_Red, Burnt_Umber, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BARN, CLOUDS, DECIDUOUS, PATH, STRUCTURE, TREE, WINDMILL",1985-03-06
Autumn Glory,"Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, ROCKS, SNOWY_MOUNTAIN, TREE, TREES",1985-03-13
Indian Girl,"Bright_Red, Burnt_Umber, Indian_Yellow, Prussian_Blue, Titanium_White","GUEST, PORTRAIT",1985-03-20
Meadow Stream,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BARN, CLOUDS, DECIDUOUS, GRASS, RIVER, ROCKS, STRUCTURE, TREE, TREES",1985-03-27
Blue River,"Black_Gesso, Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, DECIDUOUS, GRASS, HILLS, RIVER, TREE, TREES",1985-05-01
Nature's Edge,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CABIN, CLOUDS, DECIDUOUS, FOG, GRASS, LAKE, STRUCTURE, TREE, TREES",1985-05-08
Morning Mist,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, FOG, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1985-05-15
Whispering Stream,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES",1985-05-22
Secluded Forest,"Black_Gesso, Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, RIVER, TREE, TREES",1985-05-29
Snow Trail,"Burnt_Umber, Cadmium_Yellow, Phthalo_Blue, Phthalo_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, GRASS, SNOW, TREE, TREES",1985-06-05
Arctic Beauty,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CLOUDS, CONIFER, GRASS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL",1985-06-12
Horizons West,"Bright_Red, Cadmium_Yellow, Indian_Yellow, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BUSHES, CONIFER, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1985-06-19
High Chateau,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CABIN, CLOUDS, CONIFER, CUMULUS, GRASS, ROCKS, TREE, TREES",1985-06-26
Country Life,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BARN, CIRRUS, CLOUDS, FENCE, GRASS",1985-07-02
Western Expanse,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CLOUDS, DECIDUOUS, MOUNTAIN, MOUNTAINS, RIVER, TREE",1985-07-09
Marshlands,"Black_Gesso, Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, DECIDUOUS, LAKE, TREE, TREES",1985-07-16
Blaze Of Color,"Bright_Red, Burnt_Umber, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, DECIDUOUS, GRASS, HILLS, RIVER, TREE, TREES",1985-07-23
Winter Cabin,"Bright_Red, Dark_Sienna, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre","CABIN, CLOUDS, DECIDUOUS, SNOW, STRUCTURE, TREE, WINTER",1985-10-02
Secluded Lake,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, DECIDUOUS, GRASS, LAKE, ROCKS, TREE, TREES",1985-10-09
Evergreens At Sunset,"Bright_Red, Cadmium_Yellow, Indian_Yellow, Midnight_Black, Sap_Green, Titanium_White, Alizarin_Crimson","CIRRUS, CLOUDS, CONIFER, DECIDUOUS, RIVER, SUN, TREE, TREES",1985-10-16
Mountain Cabin,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES",1985-10-23
Portrait Of Sally,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Phthalo_Blue, Titanium_White, Yellow_Ochre, Alizarin_Crimson","GUEST, PORTRAIT",1985-10-30
Misty Waterfall,"Bright_Red, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, LAKE, RIVER, TREE, TREES, WATERFALL",1985-11-06
Barn At Sunset,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BARN, CLOUDS, CUMULUS, DECIDUOUS, PATH, SNOW, STRUCTURE, TREE, TREES",1985-11-13
Mountain Splendor,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1985-11-20
Lake By Mountain,"Bright_Red, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GUEST, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES",1985-11-27
Mountain Glory,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre","CLOUDS, CONIFER, GRASS, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1985-12-06
Grey Winter,"Midnight_Black, Titanium_White, Alizarin_Crimson","BUSHES, CLOUDS, LAKE, SNOW, TREE, TREES, WINTER",1985-12-13
Dock Scene,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre","BOAT, CLOUDS, CUMULUS, DECIDUOUS, DOCK, LAKE, STRUCTURE, TREE",1985-12-20
Dark Waterfall,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, RIVER, TREE, TREES, WATERFALL",1985-12-27
